"Zonnestroom; vermogen en vermogensklasse, bedrijven en woningen, regio"
"Sector en vermogensklasse: Alle economische activiteit en woningen"
"";"";"";"Perioden"
"Regio's";"Onderwerp";"";"2024 eerste helft*"
"Culemborg";"Opgesteld vermogen van zonnepanelen";"kWp";"32980"
"Culemborg";"Opgesteld vermogen omvormers";"kW";"29507"
"Culemborg";"Productie van zonnestroom";"mln kWh";"."
"Dalfsen";"Installaties";"aantal";"7711"
"Dalfsen";"Opgesteld vermogen van zonnepanelen";"kWp";"67583"
"Dalfsen";"Opgesteld vermogen omvormers";"kW";"59002"
"Dalfsen";"Productie van zonnestroom";"mln kWh";"."
"Dantumadiel";"Installaties";"aantal";"5169"
"Dantumadiel";"Opgesteld vermogen van zonnepanelen";"kWp";"27751"
"Dantumadiel";"Opgesteld vermogen omvormers";"kW";"25187"
"Dantumadiel";"Productie van zonnestroom";"mln kWh";"."
"Delft";"Installaties";"aantal";"9603"
"Delft";"Opgesteld vermogen van zonnepanelen";"kWp";"44406"
"Delft";"Opgesteld vermogen omvormers";"kW";"40140"
"Delft";"Productie van zonnestroom";"mln kWh";"."
"Delfzijl";"Installaties";"aantal";""
"Delfzijl";"Opgesteld vermogen van zonnepanelen";"kWp";""
"Delfzijl";"Opgesteld vermogen omvormers";"kW";""
"Delfzijl";"Productie van zonnestroom";"mln kWh";""
"Deurne";"Installaties";"aantal";"6763"
"Deurne";"Opgesteld vermogen van zonnepanelen";"kWp";"77959"
"Deurne";"Opgesteld vermogen omvormers";"kW";"68663"
"Deurne";"Productie van zonnestroom";"mln kWh";"."
"Deventer";"Installaties";"aantal";"16313"
"Deventer";"Opgesteld vermogen van zonnepanelen";"kWp";"126725"
"Deventer";"Opgesteld vermogen omvormers";"kW";"109972"
"Deventer";"Productie van zonnestroom";"mln kWh";"."
"Diemen";"Installaties";"aantal";"3746"
"Diemen";"Opgesteld vermogen van zonnepanelen";"kWp";"15789"
"Diemen";"Opgesteld vermogen omvormers";"kW";"14938"
"Diemen";"Productie van zonnestroom";"mln kWh";"."
"Dijk en Waard";"Installaties";"aantal";"20953"
"Dijk en Waard";"Opgesteld vermogen van zonnepanelen";"kWp";"123609"
"Dijk en Waard";"Opgesteld vermogen omvormers";"kW";"111374"
"Dijk en Waard";"Productie van zonnestroom";"mln kWh";"."
"Dinkelland";"Installaties";"aantal";"6107"
"Dinkelland";"Opgesteld vermogen van zonnepanelen";"kWp";"63884"
"Dinkelland";"Opgesteld vermogen omvormers";"kW";"57006"
"Dinkelland";"Productie van zonnestroom";"mln kWh";"."
"Doesburg";"Installaties";"aantal";"1893"
"Doesburg";"Opgesteld vermogen van zonnepanelen";"kWp";"9804"
"Doesburg";"Opgesteld vermogen omvormers";"kW";"9202"
"Doesburg";"Productie van zonnestroom";"mln kWh";"."
