"Zonnestroom; vermogen en vermogensklasse, bedrijven en woningen, regio"
"Sector en vermogensklasse: Alle economische activiteit en woningen"
"";"";"";"Perioden"
"Regio's";"Onderwerp";"";"2024 eerste helft*"
"Nunspeet";"Opgesteld vermogen omvormers";"kW";"28246"
"Nunspeet";"Productie van zonnestroom";"mln kWh";"."
"Oegstgeest";"Installaties";"aantal";"4343"
"Oegstgeest";"Opgesteld vermogen van zonnepanelen";"kWp";"19905"
"Oegstgeest";"Opgesteld vermogen omvormers";"kW";"18092"
"Oegstgeest";"Productie van zonnestroom";"mln kWh";"."
"Oirschot";"Installaties";"aantal";"3882"
"Oirschot";"Opgesteld vermogen van zonnepanelen";"kWp";"44132"
"Oirschot";"Opgesteld vermogen omvormers";"kW";"38082"
"Oirschot";"Productie van zonnestroom";"mln kWh";"."
"Oisterwijk";"Installaties";"aantal";"5627"
"Oisterwijk";"Opgesteld vermogen van zonnepanelen";"kWp";"49805"
"Oisterwijk";"Opgesteld vermogen omvormers";"kW";"43663"
"Oisterwijk";"Productie van zonnestroom";"mln kWh";"."
"Oldambt";"Installaties";"aantal";"9995"
"Oldambt";"Opgesteld vermogen van zonnepanelen";"kWp";"80304"
"Oldambt";"Opgesteld vermogen omvormers";"kW";"71534"
"Oldambt";"Productie van zonnestroom";"mln kWh";"."
"Oldebroek";"Installaties";"aantal";"4678"
"Oldebroek";"Opgesteld vermogen van zonnepanelen";"kWp";"51097"
"Oldebroek";"Opgesteld vermogen omvormers";"kW";"43581"
"Oldebroek";"Productie van zonnestroom";"mln kWh";"."
"Oldenzaal";"Installaties";"aantal";"6697"
"Oldenzaal";"Opgesteld vermogen van zonnepanelen";"kWp";"54228"
"Oldenzaal";"Opgesteld vermogen omvormers";"kW";"46410"
"Oldenzaal";"Productie van zonnestroom";"mln kWh";"."
"Olst-Wijhe";"Installaties";"aantal";"4915"
"Olst-Wijhe";"Opgesteld vermogen van zonnepanelen";"kWp";"44029"
"Olst-Wijhe";"Opgesteld vermogen omvormers";"kW";"36069"
"Olst-Wijhe";"Productie van zonnestroom";"mln kWh";"."
"Ommen";"Installaties";"aantal";"4245"
"Ommen";"Opgesteld vermogen van zonnepanelen";"kWp";"41035"
"Ommen";"Opgesteld vermogen omvormers";"kW";"35715"
"Ommen";"Productie van zonnestroom";"mln kWh";"."
"Oost Gelre";"Installaties";"aantal";"6787"
"Oost Gelre";"Opgesteld vermogen van zonnepanelen";"kWp";"62994"
"Oost Gelre";"Opgesteld vermogen omvormers";"kW";"56972"
"Oost Gelre";"Productie van zonnestroom";"mln kWh";"."
"Oosterhout";"Installaties";"aantal";"9995"
"Oosterhout";"Opgesteld vermogen van zonnepanelen";"kWp";"82329"
"Oosterhout";"Opgesteld vermogen omvormers";"kW";"71038"
"Oosterhout";"Productie van zonnestroom";"mln kWh";"."
"Ooststellingwerf";"Installaties";"aantal";"7463"
"Ooststellingwerf";"Opgesteld vermogen van zonnepanelen";"kWp";"138359"
"Ooststellingwerf";"Opgesteld vermogen omvormers";"kW";"127360"
"Ooststellingwerf";"Productie van zonnestroom";"mln kWh";"."
"Oostzaan";"Installaties";"aantal";"1477"
"Oostzaan";"Opgesteld vermogen van zonnepanelen";"kWp";"9678"
"Oostzaan";"Opgesteld vermogen omvormers";"kW";"8964"
"Oostzaan";"Productie van zonnestroom";"mln kWh";"."
"Opmeer";"Installaties";"aantal";"2639"
"Opmeer";"Opgesteld vermogen van zonnepanelen";"kWp";"20668"
"Opmeer";"Opgesteld vermogen omvormers";"kW";"18496"
"Opmeer";"Productie van zonnestroom";"mln kWh";"."
"Opsterland";"Installaties";"aantal";"6591"
"Opsterland";"Opgesteld vermogen van zonnepanelen";"kWp";"81219"
"Opsterland";"Opgesteld vermogen omvormers";"kW";"69620"
"Opsterland";"Productie van zonnestroom";"mln kWh";"."
"Oss";"Installaties";"aantal";"19345"
"Oss";"Opgesteld vermogen van zonnepanelen";"kWp";"158424"
"Oss";"Opgesteld vermogen omvormers";"kW";"139775"
"Oss";"Productie van zonnestroom";"mln kWh";"."
"Oude IJsselstreek";"Installaties";"aantal";"8771"
"Oude IJsselstreek";"Opgesteld vermogen van zonnepanelen";"kWp";"91077"
"Oude IJsselstreek";"Opgesteld vermogen omvormers";"kW";"76593"
"Oude IJsselstreek";"Productie van zonnestroom";"mln kWh";"."
"Ouder-Amstel";"Installaties";"aantal";"2068"
"Ouder-Amstel";"Opgesteld vermogen van zonnepanelen";"kWp";"13120"
"Ouder-Amstel";"Opgesteld vermogen omvormers";"kW";"11325"
"Ouder-Amstel";"Productie van zonnestroom";"mln kWh";"."
"Oudewater";"Installaties";"aantal";"2019"
"Oudewater";"Opgesteld vermogen van zonnepanelen";"kWp";"15181"
"Oudewater";"Opgesteld vermogen omvormers";"kW";"13744"
"Oudewater";"Productie van zonnestroom";"mln kWh";"."
"Overbetuwe";"Installaties";"aantal";"9898"
"Overbetuwe";"Opgesteld vermogen van zonnepanelen";"kWp";"114141"
"Overbetuwe";"Opgesteld vermogen omvormers";"kW";"97762"
"Overbetuwe";"Productie van zonnestroom";"mln kWh";"."
"Papendrecht";"Installaties";"aantal";"4467"
"Papendrecht";"Opgesteld vermogen van zonnepanelen";"kWp";"21670"
"Papendrecht";"Opgesteld vermogen omvormers";"kW";"19627"
"Papendrecht";"Productie van zonnestroom";"mln kWh";"."
"Peel en Maas";"Installaties";"aantal";"11580"
"Peel en Maas";"Opgesteld vermogen van zonnepanelen";"kWp";"132764"
"Peel en Maas";"Opgesteld vermogen omvormers";"kW";"112992"
"Peel en Maas";"Productie van zonnestroom";"mln kWh";"."
"Pekela";"Installaties";"aantal";"2682"
"Pekela";"Opgesteld vermogen van zonnepanelen";"kWp";"87925"
"Pekela";"Opgesteld vermogen omvormers";"kW";"77975"
"Pekela";"Productie van zonnestroom";"mln kWh";"."
"Pijnacker-Nootdorp";"Installaties";"aantal";"11805"
"Pijnacker-Nootdorp";"Opgesteld vermogen van zonnepanelen";"kWp";"62691"
"Pijnacker-Nootdorp";"Opgesteld vermogen omvormers";"kW";"57557"
"Pijnacker-Nootdorp";"Productie van zonnestroom";"mln kWh";"."
"Purmerend";"Installaties";"aantal";"13519"
"Purmerend";"Opgesteld vermogen van zonnepanelen";"kWp";"71469"
"Purmerend";"Opgesteld vermogen omvormers";"kW";"63869"
"Purmerend";"Productie van zonnestroom";"mln kWh";"."
"Putten";"Installaties";"aantal";"4278"
"Putten";"Opgesteld vermogen van zonnepanelen";"kWp";"40222"
"Putten";"Opgesteld vermogen omvormers";"kW";"35956"
"Putten";"Productie van zonnestroom";"mln kWh";"."
"Raalte";"Installaties";"aantal";"9947"
"Raalte";"Opgesteld vermogen van zonnepanelen";"kWp";"79442"
"Raalte";"Opgesteld vermogen omvormers";"kW";"70420"
"Raalte";"Productie van zonnestroom";"mln kWh";"."
"Reimerswaal";"Installaties";"aantal";"5616"
"Reimerswaal";"Opgesteld vermogen van zonnepanelen";"kWp";"93163"
"Reimerswaal";"Opgesteld vermogen omvormers";"kW";"79447"
"Reimerswaal";"Productie van zonnestroom";"mln kWh";"."
"Renkum";"Installaties";"aantal";"5064"
"Renkum";"Opgesteld vermogen van zonnepanelen";"kWp";"24904"
"Renkum";"Opgesteld vermogen omvormers";"kW";"22907"
"Renkum";"Productie van zonnestroom";"mln kWh";"."
"Renswoude";"Installaties";"aantal";"1257"
"Renswoude";"Opgesteld vermogen van zonnepanelen";"kWp";"13305"
"Renswoude";"Opgesteld vermogen omvormers";"kW";"11309"
"Renswoude";"Productie van zonnestroom";"mln kWh";"."
"Reusel-De Mierden";"Installaties";"aantal";"3039"
"Reusel-De Mierden";"Opgesteld vermogen van zonnepanelen";"kWp";"41505"
"Reusel-De Mierden";"Opgesteld vermogen omvormers";"kW";"36359"
"Reusel-De Mierden";"Productie van zonnestroom";"mln kWh";"."
"Rheden";"Installaties";"aantal";"6625"
"Rheden";"Opgesteld vermogen van zonnepanelen";"kWp";"39486"
"Rheden";"Opgesteld vermogen omvormers";"kW";"35974"
"Rheden";"Productie van zonnestroom";"mln kWh";"."
"Rhenen";"Installaties";"aantal";"4245"
"Rhenen";"Opgesteld vermogen van zonnepanelen";"kWp";"24325"
"Rhenen";"Opgesteld vermogen omvormers";"kW";"21830"
"Rhenen";"Productie van zonnestroom";"mln kWh";"."
"Ridderkerk";"Installaties";"aantal";"7018"
"Ridderkerk";"Opgesteld vermogen van zonnepanelen";"kWp";"51157"
"Ridderkerk";"Opgesteld vermogen omvormers";"kW";"43187"
"Ridderkerk";"Productie van zonnestroom";"mln kWh";"."
"Rijssen-Holten";"Installaties";"aantal";"7293"
"Rijssen-Holten";"Opgesteld vermogen van zonnepanelen";"kWp";"80066"
"Rijssen-Holten";"Opgesteld vermogen omvormers";"kW";"69287"
"Rijssen-Holten";"Productie van zonnestroom";"mln kWh";"."
"Rijswijk (ZH.)";"Installaties";"aantal";"7444"
"Rijswijk (ZH.)";"Opgesteld vermogen van zonnepanelen";"kWp";"27084"
"Rijswijk (ZH.)";"Opgesteld vermogen omvormers";"kW";"25026"
"Rijswijk (ZH.)";"Productie van zonnestroom";"mln kWh";"."
"Roerdalen";"Installaties";"aantal";"5627"
"Roerdalen";"Opgesteld vermogen van zonnepanelen";"kWp";"33363"
"Roerdalen";"Opgesteld vermogen omvormers";"kW";"30953"
"Roerdalen";"Productie van zonnestroom";"mln kWh";"."
"Roermond";"Installaties";"aantal";"11753"
"Roermond";"Opgesteld vermogen van zonnepanelen";"kWp";"76256"
"Roermond";"Opgesteld vermogen omvormers";"kW";"67513"
"Roermond";"Productie van zonnestroom";"mln kWh";"."
"De Ronde Venen";"Installaties";"aantal";"10037"
"De Ronde Venen";"Opgesteld vermogen van zonnepanelen";"kWp";"48271"
"De Ronde Venen";"Opgesteld vermogen omvormers";"kW";"43929"
"De Ronde Venen";"Productie van zonnestroom";"mln kWh";"."
"Roosendaal";"Installaties";"aantal";"12613"
"Roosendaal";"Opgesteld vermogen van zonnepanelen";"kWp";"137349"
"Roosendaal";"Opgesteld vermogen omvormers";"kW";"115172"
"Roosendaal";"Productie van zonnestroom";"mln kWh";"."
"Rotterdam";"Installaties";"aantal";"37180"
"Rotterdam";"Opgesteld vermogen van zonnepanelen";"kWp";"314868"
"Rotterdam";"Opgesteld vermogen omvormers";"kW";"250521"
"Rotterdam";"Productie van zonnestroom";"mln kWh";"."
"Rozendaal";"Installaties";"aantal";"407"
"Rozendaal";"Opgesteld vermogen van zonnepanelen";"kWp";"2471"
"Rozendaal";"Opgesteld vermogen omvormers";"kW";"2306"
"Rozendaal";"Productie van zonnestroom";"mln kWh";"."
"Rucphen";"Installaties";"aantal";"4965"
"Rucphen";"Opgesteld vermogen van zonnepanelen";"kWp";"30591"
"Rucphen";"Opgesteld vermogen omvormers";"kW";"27279"
"Rucphen";"Productie van zonnestroom";"mln kWh";"."
"Schagen";"Installaties";"aantal";"10903"
"Schagen";"Opgesteld vermogen van zonnepanelen";"kWp";"119956"
"Schagen";"Opgesteld vermogen omvormers";"kW";"105820"
"Schagen";"Productie van zonnestroom";"mln kWh";"."
"Scherpenzeel";"Installaties";"aantal";"1920"
"Scherpenzeel";"Opgesteld vermogen van zonnepanelen";"kWp";"14459"
"Scherpenzeel";"Opgesteld vermogen omvormers";"kW";"13178"
"Scherpenzeel";"Productie van zonnestroom";"mln kWh";"."
"Schiedam";"Installaties";"aantal";"6144"
"Schiedam";"Opgesteld vermogen van zonnepanelen";"kWp";"30372"
"Schiedam";"Opgesteld vermogen omvormers";"kW";"27914"
"Schiedam";"Productie van zonnestroom";"mln kWh";"."
"Schiermonnikoog";"Installaties";"aantal";"307"
"Schiermonnikoog";"Opgesteld vermogen van zonnepanelen";"kWp";"3160"
"Schiermonnikoog";"Opgesteld vermogen omvormers";"kW";"2943"
"Schiermonnikoog";"Productie van zonnestroom";"mln kWh";"."
"Schouwen-Duiveland";"Installaties";"aantal";"10824"
"Schouwen-Duiveland";"Opgesteld vermogen van zonnepanelen";"kWp";"74187"
"Schouwen-Duiveland";"Opgesteld vermogen omvormers";"kW";"64696"
"Schouwen-Duiveland";"Productie van zonnestroom";"mln kWh";"."
"Simpelveld";"Installaties";"aantal";"2310"
"Simpelveld";"Opgesteld vermogen van zonnepanelen";"kWp";"11851"
"Simpelveld";"Opgesteld vermogen omvormers";"kW";"10977"
"Simpelveld";"Productie van zonnestroom";"mln kWh";"."
"Sint Anthonis";"Installaties";"aantal";""
"Sint Anthonis";"Opgesteld vermogen van zonnepanelen";"kWp";""
"Sint Anthonis";"Opgesteld vermogen omvormers";"kW";""
"Sint Anthonis";"Productie van zonnestroom";"mln kWh";""
"Sint-Michielsgestel";"Installaties";"aantal";"6554"
"Sint-Michielsgestel";"Opgesteld vermogen van zonnepanelen";"kWp";"44624"
"Sint-Michielsgestel";"Opgesteld vermogen omvormers";"kW";"40305"
"Sint-Michielsgestel";"Productie van zonnestroom";"mln kWh";"."
"Sittard-Geleen";"Installaties";"aantal";"18369"
"Sittard-Geleen";"Opgesteld vermogen van zonnepanelen";"kWp";"131116"
"Sittard-Geleen";"Opgesteld vermogen omvormers";"kW";"113448"
"Sittard-Geleen";"Productie van zonnestroom";"mln kWh";"."
"Sliedrecht";"Installaties";"aantal";"3737"
"Sliedrecht";"Opgesteld vermogen van zonnepanelen";"kWp";"23525"
"Sliedrecht";"Opgesteld vermogen omvormers";"kW";"21131"
"Sliedrecht";"Productie van zonnestroom";"mln kWh";"."
"Sluis";"Installaties";"aantal";"6725"
"Sluis";"Opgesteld vermogen van zonnepanelen";"kWp";"51035"
"Sluis";"Opgesteld vermogen omvormers";"kW";"44219"
"Sluis";"Productie van zonnestroom";"mln kWh";"."
"Smallingerland";"Installaties";"aantal";"12085"
"Smallingerland";"Opgesteld vermogen van zonnepanelen";"kWp";"89479"
"Smallingerland";"Opgesteld vermogen omvormers";"kW";"79271"
"Smallingerland";"Productie van zonnestroom";"mln kWh";"."
"Soest";"Installaties";"aantal";"7822"
"Soest";"Opgesteld vermogen van zonnepanelen";"kWp";"42983"
"Soest";"Opgesteld vermogen omvormers";"kW";"38808"
"Soest";"Productie van zonnestroom";"mln kWh";"."
"Someren";"Installaties";"aantal";"5202"
"Someren";"Opgesteld vermogen van zonnepanelen";"kWp";"87485"
"Someren";"Opgesteld vermogen omvormers";"kW";"74936"
"Someren";"Productie van zonnestroom";"mln kWh";"."
"Son en Breugel";"Installaties";"aantal";"4098"
"Son en Breugel";"Opgesteld vermogen van zonnepanelen";"kWp";"40736"
"Son en Breugel";"Opgesteld vermogen omvormers";"kW";"35780"
"Son en Breugel";"Productie van zonnestroom";"mln kWh";"."
"Stadskanaal";"Installaties";"aantal";"6595"
"Stadskanaal";"Opgesteld vermogen van zonnepanelen";"kWp";"191499"
"Stadskanaal";"Opgesteld vermogen omvormers";"kW";"177048"
"Stadskanaal";"Productie van zonnestroom";"mln kWh";"."
"Staphorst";"Installaties";"aantal";"3208"
"Staphorst";"Opgesteld vermogen van zonnepanelen";"kWp";"27638"
"Staphorst";"Opgesteld vermogen omvormers";"kW";"25326"
"Staphorst";"Productie van zonnestroom";"mln kWh";"."
"Stede Broec";"Installaties";"aantal";"4923"
"Stede Broec";"Opgesteld vermogen van zonnepanelen";"kWp";"27847"
"Stede Broec";"Opgesteld vermogen omvormers";"kW";"25552"
"Stede Broec";"Productie van zonnestroom";"mln kWh";"."
"Steenbergen";"Installaties";"aantal";"5228"
"Steenbergen";"Opgesteld vermogen van zonnepanelen";"kWp";"44643"
"Steenbergen";"Opgesteld vermogen omvormers";"kW";"40205"
"Steenbergen";"Productie van zonnestroom";"mln kWh";"."
"Steenwijkerland";"Installaties";"aantal";"9148"
"Steenwijkerland";"Opgesteld vermogen van zonnepanelen";"kWp";"60166"
"Steenwijkerland";"Opgesteld vermogen omvormers";"kW";"54604"
"Steenwijkerland";"Productie van zonnestroom";"mln kWh";"."
"Stein (L.)";"Installaties";"aantal";"6267"
"Stein (L.)";"Opgesteld vermogen van zonnepanelen";"kWp";"33434"
"Stein (L.)";"Opgesteld vermogen omvormers";"kW";"31120"
"Stein (L.)";"Productie van zonnestroom";"mln kWh";"."
"Stichtse Vecht";"Installaties";"aantal";"10749"
"Stichtse Vecht";"Opgesteld vermogen van zonnepanelen";"kWp";"58271"
"Stichtse Vecht";"Opgesteld vermogen omvormers";"kW";"51279"
"Stichtse Vecht";"Productie van zonnestroom";"mln kWh";"."
"Súdwest-Fryslân";"Installaties";"aantal";"19926"
"Súdwest-Fryslân";"Opgesteld vermogen van zonnepanelen";"kWp";"140725"
"Súdwest-Fryslân";"Opgesteld vermogen omvormers";"kW";"128568"
"Súdwest-Fryslân";"Productie van zonnestroom";"mln kWh";"."
"Terneuzen";"Installaties";"aantal";"13409"
"Terneuzen";"Opgesteld vermogen van zonnepanelen";"kWp";"257713"
"Terneuzen";"Opgesteld vermogen omvormers";"kW";"225459"
"Terneuzen";"Productie van zonnestroom";"mln kWh";"."
"Terschelling";"Installaties";"aantal";"1141"
"Terschelling";"Opgesteld vermogen van zonnepanelen";"kWp";"7862"
"Terschelling";"Opgesteld vermogen omvormers";"kW";"7042"
"Terschelling";"Productie van zonnestroom";"mln kWh";"."
"Texel";"Installaties";"aantal";"3469"
"Texel";"Opgesteld vermogen van zonnepanelen";"kWp";"25463"
"Texel";"Opgesteld vermogen omvormers";"kW";"23216"
"Texel";"Productie van zonnestroom";"mln kWh";"."
"Teylingen";"Installaties";"aantal";"7574"
"Teylingen";"Opgesteld vermogen van zonnepanelen";"kWp";"42706"
"Teylingen";"Opgesteld vermogen omvormers";"kW";"40123"
"Teylingen";"Productie van zonnestroom";"mln kWh";"."
"Tholen";"Installaties";"aantal";"6652"
"Tholen";"Opgesteld vermogen van zonnepanelen";"kWp";"63703"
"Tholen";"Opgesteld vermogen omvormers";"kW";"57232"
"Tholen";"Productie van zonnestroom";"mln kWh";"."
"Tiel";"Installaties";"aantal";"7552"
"Tiel";"Opgesteld vermogen van zonnepanelen";"kWp";"52788"
"Tiel";"Opgesteld vermogen omvormers";"kW";"46396"
"Tiel";"Productie van zonnestroom";"mln kWh";"."
"Tilburg";"Installaties";"aantal";"34353"
"Tilburg";"Opgesteld vermogen van zonnepanelen";"kWp";"283972"
"Tilburg";"Opgesteld vermogen omvormers";"kW";"239765"
"Tilburg";"Productie van zonnestroom";"mln kWh";"."
"Tubbergen";"Installaties";"aantal";"4645"
"Tubbergen";"Opgesteld vermogen van zonnepanelen";"kWp";"50962"
"Tubbergen";"Opgesteld vermogen omvormers";"kW";"45017"
"Tubbergen";"Productie van zonnestroom";"mln kWh";"."
"Twenterand";"Installaties";"aantal";"6893"
"Twenterand";"Opgesteld vermogen van zonnepanelen";"kWp";"77257"
"Twenterand";"Opgesteld vermogen omvormers";"kW";"66044"
"Twenterand";"Productie van zonnestroom";"mln kWh";"."
"Tynaarlo";"Installaties";"aantal";"9741"
"Tynaarlo";"Opgesteld vermogen van zonnepanelen";"kWp";"95955"
"Tynaarlo";"Opgesteld vermogen omvormers";"kW";"83493"
"Tynaarlo";"Productie van zonnestroom";"mln kWh";"."
"Tytsjerksteradiel";"Installaties";"aantal";"7970"
"Tytsjerksteradiel";"Opgesteld vermogen van zonnepanelen";"kWp";"58265"
"Tytsjerksteradiel";"Opgesteld vermogen omvormers";"kW";"52228"
"Tytsjerksteradiel";"Productie van zonnestroom";"mln kWh";"."
"Uden";"Installaties";"aantal";""
"Uden";"Opgesteld vermogen van zonnepanelen";"kWp";""
"Uden";"Opgesteld vermogen omvormers";"kW";""
"Uden";"Productie van zonnestroom";"mln kWh";""
"Uitgeest";"Installaties";"aantal";"3511"
"Uitgeest";"Opgesteld vermogen van zonnepanelen";"kWp";"15233"
"Uitgeest";"Opgesteld vermogen omvormers";"kW";"14011"
"Uitgeest";"Productie van zonnestroom";"mln kWh";"."
"Uithoorn";"Installaties";"aantal";"5355"
"Uithoorn";"Opgesteld vermogen van zonnepanelen";"kWp";"33224"
"Uithoorn";"Opgesteld vermogen omvormers";"kW";"30001"
"Uithoorn";"Productie van zonnestroom";"mln kWh";"."
"Urk";"Installaties";"aantal";"3565"
"Urk";"Opgesteld vermogen van zonnepanelen";"kWp";"25875"
"Urk";"Opgesteld vermogen omvormers";"kW";"24705"
"Urk";"Productie van zonnestroom";"mln kWh";"."
"Utrecht (gemeente)";"Installaties";"aantal";"45640"
"Utrecht (gemeente)";"Opgesteld vermogen van zonnepanelen";"kWp";"221846"
"Utrecht (gemeente)";"Opgesteld vermogen omvormers";"kW";"197543"
"Utrecht (gemeente)";"Productie van zonnestroom";"mln kWh";"."
"Utrechtse Heuvelrug";"Installaties";"aantal";"10386"
"Utrechtse Heuvelrug";"Opgesteld vermogen van zonnepanelen";"kWp";"51349"
"Utrechtse Heuvelrug";"Opgesteld vermogen omvormers";"kW";"46394"
"Utrechtse Heuvelrug";"Productie van zonnestroom";"mln kWh";"."
"Vaals";"Installaties";"aantal";"1621"
"Vaals";"Opgesteld vermogen van zonnepanelen";"kWp";"7200"
"Vaals";"Opgesteld vermogen omvormers";"kW";"6792"
"Vaals";"Productie van zonnestroom";"mln kWh";"."
"Valkenburg aan de Geul";"Installaties";"aantal";"3080"
"Valkenburg aan de Geul";"Opgesteld vermogen van zonnepanelen";"kWp";"18846"
"Valkenburg aan de Geul";"Opgesteld vermogen omvormers";"kW";"17251"
"Valkenburg aan de Geul";"Productie van zonnestroom";"mln kWh";"."
"Valkenswaard";"Installaties";"aantal";"6992"
"Valkenswaard";"Opgesteld vermogen van zonnepanelen";"kWp";"44037"
"Valkenswaard";"Opgesteld vermogen omvormers";"kW";"39273"
"Valkenswaard";"Productie van zonnestroom";"mln kWh";"."
"Veendam";"Installaties";"aantal";"6683"
"Veendam";"Opgesteld vermogen van zonnepanelen";"kWp";"71424"
"Veendam";"Opgesteld vermogen omvormers";"kW";"63242"
"Veendam";"Productie van zonnestroom";"mln kWh";"."
"Veenendaal";"Installaties";"aantal";"13333"
"Veenendaal";"Opgesteld vermogen van zonnepanelen";"kWp";"66557"
"Veenendaal";"Opgesteld vermogen omvormers";"kW";"59855"
"Veenendaal";"Productie van zonnestroom";"mln kWh";"."
"Veere";"Installaties";"aantal";"6901"
"Veere";"Opgesteld vermogen van zonnepanelen";"kWp";"42324"
"Veere";"Opgesteld vermogen omvormers";"kW";"39329"
"Veere";"Productie van zonnestroom";"mln kWh";"."
"Veldhoven";"Installaties";"aantal";"9848"
"Veldhoven";"Opgesteld vermogen van zonnepanelen";"kWp";"60545"
"Veldhoven";"Opgesteld vermogen omvormers";"kW";"54521"
"Veldhoven";"Productie van zonnestroom";"mln kWh";"."
"Velsen";"Installaties";"aantal";"8235"
"Velsen";"Opgesteld vermogen van zonnepanelen";"kWp";"46776"
"Velsen";"Opgesteld vermogen omvormers";"kW";"40635"
"Velsen";"Productie van zonnestroom";"mln kWh";"."
"Venlo";"Installaties";"aantal";"22623"
"Venlo";"Opgesteld vermogen van zonnepanelen";"kWp";"278447"
"Venlo";"Opgesteld vermogen omvormers";"kW";"221584"
"Venlo";"Productie van zonnestroom";"mln kWh";"."
"Venray";"Installaties";"aantal";"10725"
"Venray";"Opgesteld vermogen van zonnepanelen";"kWp";"129555"
"Venray";"Opgesteld vermogen omvormers";"kW";"110217"
"Venray";"Productie van zonnestroom";"mln kWh";"."
"Vijfheerenlanden";"Installaties";"aantal";"13980"
"Vijfheerenlanden";"Opgesteld vermogen van zonnepanelen";"kWp";"85601"
"Vijfheerenlanden";"Opgesteld vermogen omvormers";"kW";"76255"
"Vijfheerenlanden";"Productie van zonnestroom";"mln kWh";"."
"Vlaardingen";"Installaties";"aantal";"7233"
"Vlaardingen";"Opgesteld vermogen van zonnepanelen";"kWp";"32791"
"Vlaardingen";"Opgesteld vermogen omvormers";"kW";"29456"
"Vlaardingen";"Productie van zonnestroom";"mln kWh";"."
"Vlieland";"Installaties";"aantal";"387"
"Vlieland";"Opgesteld vermogen van zonnepanelen";"kWp";"3406"
"Vlieland";"Opgesteld vermogen omvormers";"kW";"3056"
"Vlieland";"Productie van zonnestroom";"mln kWh";"."
"Vlissingen";"Installaties";"aantal";"10309"
"Vlissingen";"Opgesteld vermogen van zonnepanelen";"kWp";"85739"
"Vlissingen";"Opgesteld vermogen omvormers";"kW";"76303"
"Vlissingen";"Productie van zonnestroom";"mln kWh";"."
"Voerendaal";"Installaties";"aantal";"2699"
"Voerendaal";"Opgesteld vermogen van zonnepanelen";"kWp";"14617"
"Voerendaal";"Opgesteld vermogen omvormers";"kW";"13538"
"Voerendaal";"Productie van zonnestroom";"mln kWh";"."
"Voorne aan Zee";"Installaties";"aantal";"15163"
"Voorne aan Zee";"Opgesteld vermogen van zonnepanelen";"kWp";"92233"
"Voorne aan Zee";"Opgesteld vermogen omvormers";"kW";"80876"
"Voorne aan Zee";"Productie van zonnestroom";"mln kWh";"."
"Voorschoten";"Installaties";"aantal";"3814"
"Voorschoten";"Opgesteld vermogen van zonnepanelen";"kWp";"16524"
"Voorschoten";"Opgesteld vermogen omvormers";"kW";"15130"
"Voorschoten";"Productie van zonnestroom";"mln kWh";"."
"Voorst";"Installaties";"aantal";"5335"
"Voorst";"Opgesteld vermogen van zonnepanelen";"kWp";"103750"
"Voorst";"Opgesteld vermogen omvormers";"kW";"83891"
"Voorst";"Productie van zonnestroom";"mln kWh";"."
"Vught";"Installaties";"aantal";"5092"
"Vught";"Opgesteld vermogen van zonnepanelen";"kWp";"31694"
"Vught";"Opgesteld vermogen omvormers";"kW";"29252"
"Vught";"Productie van zonnestroom";"mln kWh";"."
"Waadhoeke";"Installaties";"aantal";"10999"
"Waadhoeke";"Opgesteld vermogen van zonnepanelen";"kWp";"84895"
"Waadhoeke";"Opgesteld vermogen omvormers";"kW";"80283"
"Waadhoeke";"Productie van zonnestroom";"mln kWh";"."
"Waalre";"Installaties";"aantal";"3868"
"Waalre";"Opgesteld vermogen van zonnepanelen";"kWp";"22143"
"Waalre";"Opgesteld vermogen omvormers";"kW";"20108"
"Waalre";"Productie van zonnestroom";"mln kWh";"."
"Waalwijk";"Installaties";"aantal";"7792"
"Waalwijk";"Opgesteld vermogen van zonnepanelen";"kWp";"102716"
"Waalwijk";"Opgesteld vermogen omvormers";"kW";"86892"
"Waalwijk";"Productie van zonnestroom";"mln kWh";"."
"Waddinxveen";"Installaties";"aantal";"6293"
"Waddinxveen";"Opgesteld vermogen van zonnepanelen";"kWp";"41842"
"Waddinxveen";"Opgesteld vermogen omvormers";"kW";"36909"
"Waddinxveen";"Productie van zonnestroom";"mln kWh";"."
"Wageningen";"Installaties";"aantal";"6452"
"Wageningen";"Opgesteld vermogen van zonnepanelen";"kWp";"38873"
"Wageningen";"Opgesteld vermogen omvormers";"kW";"36267"
"Wageningen";"Productie van zonnestroom";"mln kWh";"."
"Wassenaar";"Installaties";"aantal";"3479"
"Wassenaar";"Opgesteld vermogen van zonnepanelen";"kWp";"15807"
"Wassenaar";"Opgesteld vermogen omvormers";"kW";"14126"
"Wassenaar";"Productie van zonnestroom";"mln kWh";"."
"Waterland";"Installaties";"aantal";"2899"
"Waterland";"Opgesteld vermogen van zonnepanelen";"kWp";"14089"
"Waterland";"Opgesteld vermogen omvormers";"kW";"12785"
"Waterland";"Productie van zonnestroom";"mln kWh";"."
"Weert";"Installaties";"aantal";"10654"
"Weert";"Opgesteld vermogen van zonnepanelen";"kWp";"110698"
"Weert";"Opgesteld vermogen omvormers";"kW";"95232"
"Weert";"Productie van zonnestroom";"mln kWh";"."
"Weesp";"Installaties";"aantal";""
"Weesp";"Opgesteld vermogen van zonnepanelen";"kWp";""
"Weesp";"Opgesteld vermogen omvormers";"kW";""
"Weesp";"Productie van zonnestroom";"mln kWh";""
