,Regio's,Perioden,Installaties (aantal),Opgesteld vermogen van zonnepanelen (kW)
250,Rijssen-Holten,2023 tot en met Q2*,6448.0,75561.0
251,Rijswijk (ZH.),2023 tot en met Q2*,6364.0,23343.0
252,Roerdalen,2023 tot en met Q2*,5140.0,30632.0
253,Roermond,2023 tot en met Q2*,10486.0,65354.0
254,De Ronde Venen,2023 tot en met Q2*,8821.0,42297.0
255,Roosendaal,2023 tot en met Q2*,10691.0,126824.0
256,Rotterdam,2023 tot en met Q2*,30239.0,258035.0
257,Rozendaal,2023 tot en met Q2*,382.0,2288.0
258,Rucphen,2023 tot en met Q2*,3910.0,25626.0
259,Schagen,2023 tot en met Q2*,9306.0,109957.0
260,Scherpenzeel,2023 tot en met Q2*,1768.0,13245.0
261,Schiedam,2023 tot en met Q2*,5195.0,25748.0
262,Schiermonnikoog,2023 tot en met Q2*,265.0,2919.0
263,Schouwen-Duiveland,2023 tot en met Q2*,9268.0,65709.0
264,Simpelveld,2023 tot en met Q2*,1883.0,9902.0
265,Sint Anthonis,2023 tot en met Q2*,,
266,Sint-Michielsgestel,2023 tot en met Q2*,5864.0,41328.0
267,Sittard-Geleen,2023 tot en met Q2*,16663.0,123781.0
268,Sliedrecht,2023 tot en met Q2*,3165.0,19346.0
269,Sluis,2023 tot en met Q2*,5427.0,36601.0
270,Smallingerland,2023 tot en met Q2*,10603.0,78441.0
271,Soest,2023 tot en met Q2*,6995.0,38744.0
272,Someren,2023 tot en met Q2*,4683.0,78326.0
273,Son en Breugel,2023 tot en met Q2*,3680.0,38092.0
274,Stadskanaal,2023 tot en met Q2*,5382.0,183557.0
275,Staphorst,2023 tot en met Q2*,2811.0,24798.0
276,Stede Broec,2023 tot en met Q2*,4367.0,24921.0
277,Steenbergen,2023 tot en met Q2*,4715.0,39191.0
278,Steenwijkerland,2023 tot en met Q2*,7811.0,52829.0
279,Stein (L.),2023 tot en met Q2*,5802.0,30977.0
280,Stichtse Vecht,2023 tot en met Q2*,9388.0,48282.0
281,Súdwest-Fryslân,2023 tot en met Q2*,17199.0,125959.0
282,Terneuzen,2023 tot en met Q2*,11531.0,217445.0
283,Terschelling,2023 tot en met Q2*,941.0,6449.0
284,Texel,2023 tot en met Q2*,3056.0,21756.0
285,Teylingen,2023 tot en met Q2*,6609.0,38180.0
286,Tholen,2023 tot en met Q2*,5929.0,59703.0
287,Tiel,2023 tot en met Q2*,6284.0,45920.0
288,Tilburg,2023 tot en met Q2*,28866.0,248891.0
289,Tubbergen,2023 tot en met Q2*,4065.0,45123.0
290,Twenterand,2023 tot en met Q2*,5776.0,69903.0
291,Tynaarlo,2023 tot en met Q2*,8976.0,90442.0
292,Tytsjerksteradiel,2023 tot en met Q2*,7204.0,53730.0
293,Uden,2023 tot en met Q2*,,
294,Uitgeest,2023 tot en met Q2*,3095.0,13409.0
295,Uithoorn,2023 tot en met Q2*,4755.0,30810.0
296,Urk,2023 tot en met Q2*,3142.0,22032.0
297,Utrecht (gemeente),2023 tot en met Q2*,38894.0,189286.0
298,Utrechtse Heuvelrug,2023 tot en met Q2*,9195.0,45980.0
299,Vaals,2023 tot en met Q2*,1418.0,6281.0
300,Valkenburg aan de Geul,2023 tot en met Q2*,2688.0,16338.0
301,Valkenswaard,2023 tot en met Q2*,6057.0,40169.0
302,Veendam,2023 tot en met Q2*,5895.0,67052.0
303,Veenendaal,2023 tot en met Q2*,11779.0,58913.0
304,Veere,2023 tot en met Q2*,6001.0,36969.0
305,Veldhoven,2023 tot en met Q2*,8553.0,55246.0
306,Velsen,2023 tot en met Q2*,6944.0,39158.0
307,Venlo,2023 tot en met Q2*,20116.0,257733.0
308,Venray,2023 tot en met Q2*,9951.0,120815.0
309,Vijfheerenlanden,2023 tot en met Q2*,12276.0,74312.0
310,Vlaardingen,2023 tot en met Q2*,6243.0,26991.0
311,Vlieland,2023 tot en met Q2*,346.0,3236.0
312,Vlissingen,2023 tot en met Q2*,9044.0,79195.0
313,Voerendaal,2023 tot en met Q2*,2464.0,13011.0
314,Voorne aan Zee,2023 tot en met Q2*,13374.0,67595.0
315,Voorschoten,2023 tot en met Q2*,3112.0,13278.0
316,Voorst,2023 tot en met Q2*,4397.0,99384.0
317,Vught,2023 tot en met Q2*,4327.0,27298.0
318,Waadhoeke,2023 tot en met Q2*,9482.0,77267.0
319,Waalre,2023 tot en met Q2*,3446.0,19846.0
320,Waalwijk,2023 tot en met Q2*,6618.0,91530.0
321,Waddinxveen,2023 tot en met Q2*,5318.0,37984.0
322,Wageningen,2023 tot en met Q2*,5634.0,35463.0
323,Wassenaar,2023 tot en met Q2*,2761.0,13484.0
324,Waterland,2023 tot en met Q2*,2578.0,11928.0
325,Weert,2023 tot en met Q2*,9772.0,91949.0
326,Weesp,2023 tot en met Q2*,,
327,West Betuwe,2023 tot en met Q2*,10687.0,108371.0
328,West Maas en Waal,2023 tot en met Q2*,4950.0,44229.0
329,Westerkwartier,2023 tot en met Q2*,14612.0,145368.0
330,Westerveld,2023 tot en met Q2*,4974.0,29288.0
331,Westervoort,2023 tot en met Q2*,2352.0,10934.0
332,Westerwolde,2023 tot en met Q2*,4600.0,202743.0
333,Westland,2023 tot en met Q2*,19545.0,139995.0
334,Weststellingwerf,2023 tot en met Q2*,6967.0,63909.0
335,Westvoorne,2023 tot en met Q2*,,
336,Wierden,2023 tot en met Q2*,5050.0,50002.0
337,Wijchen,2023 tot en met Q2*,7433.0,66913.0
338,Wijdemeren,2023 tot en met Q2*,3678.0,28715.0
339,Wijk bij Duurstede,2023 tot en met Q2*,4601.0,38125.0
340,Winterswijk,2023 tot en met Q2*,5158.0,36709.0
341,Woensdrecht,2023 tot en met Q2*,3832.0,33533.0
342,Woerden,2023 tot en met Q2*,9097.0,55160.0
343,De Wolden,2023 tot en met Q2*,5978.0,40540.0
344,Wormerland,2023 tot en met Q2*,3007.0,15908.0
345,Woudenberg,2023 tot en met Q2*,2889.0,18563.0
346,Zaanstad,2023 tot en met Q2*,16550.0,97569.0
347,Zaltbommel,2023 tot en met Q2*,5812.0,59139.0
348,Zandvoort,2023 tot en met Q2*,1178.0,4810.0
349,Zeewolde,2023 tot en met Q2*,4859.0,114074.0
350,Zeist,2023 tot en met Q2*,8561.0,40427.0
351,Zevenaar,2023 tot en met Q2*,7918.0,60394.0
352,Zoetermeer,2023 tot en met Q2*,16151.0,70018.0
353,Zoeterwoude,2023 tot en met Q2*,1680.0,16866.0
354,Zuidplas,2023 tot en met Q2*,8244.0,61996.0
355,Zundert,2023 tot en met Q2*,3835.0,32776.0
356,Zutphen,2023 tot en met Q2*,7078.0,55428.0
357,Zwartewaterland,2023 tot en met Q2*,3618.0,37185.0
358,Zwijndrecht,2023 tot en met Q2*,5803.0,100640.0
359,Zwolle,2023 tot en met Q2*,22649.0,191008.0
360,Gemeenten; niet in te delen,2023 tot en met Q2*,445.0,28813.0
